problem,reasoning,program
Prove that there exist non-empty sets A and B of people such that A ∩ B = ∅,The following set constraints ensure the existence of such sets:  - ∃A (A ⊆ X) ∧  	∀B (B ⊈ A);,[\n  (set-logic QF_UF)\n  (declare-const X:sets of person);\n  (assert (∃A (A ⊆ X) ∧ \n     ∀B (B ⊈ A)));\n]
Social Network Problem,"The following friendship relationships hold: (Alice, Bob), (Bob, Charlie), (Charlie, Alice). Find the maximum number of friends each person can have.",set-logic QF_UF\ndeclare-const Alice as Boolean;\ndeclare-const Bob as Boolean;\ndeclare-const Charlie as Boolean;\nassert (Alice || Bob)\nassert (Bob || Charlie)\nassert (Charlie || Alice)\ncheck-sat
"Given two people A and B, where person A is related to person B by marriage if A's age is greater than B's age.",Use QF_UF or QF_LIA with set-logic to express the relationship between ages of individuals for any positive integers n and m (where n <= m).,set-logic QF_UF\nassert (set-theory-relations marriage (\n    person A = x \n    person B = y \n)\n    (x > y))
Prove that there exists an integer x such that x > 10 and x + 2 < 20,"Use QF_UF to generate a set of implications, then use set-logic to derive the desired implication.",(set-logic QF_UF)\n(declare-const x int)\n(assert (x > 10))\n(check-sat)
"Prove that if person A has degree 3 and person B has degree 4, then person A's age is greater than or equal to person B's age",This implication can be proved using QF_UF or QF_LIA.,set-logic QF_UF;\n\ndeclare-const person_A_degree = 3;\ndeclare-const person_B_degree = 4;\nassert person_A_age >= person_B_age;\ncheck-sat
Prove that there exists an integer x such that x^2 = 5 and x^4 + 2x^2 - 1,Use QF_UF to reason about the existence of a solution and then use QLIA to solve for x.,int x; (set-logic QF_UF)\n\n(int <= 5)\n(x^2 = 5)\n(int >= 0)\n(check-sat)
Prove that John is older than Mary.,"Use QF_UF to express a linear order on people, and then use QF_LIA to assert that John comes before Mary.",(set-logic QF_UF)\n\n(declare-const john integer)\n(declare-const mary integer)\n(assert (john > mary))\n(check-sat)
Prove that two people are acquaintances if they have met at least once,(set-logic QF_UF) (declare-const person1 :: int) (declare-const person2 :: int) (assert (person1 = person2)) (check-sat),assert (person1 = person2); check-sat
"Given the social network of individuals with attributes 'name' and 'relationship_type', find the maximum number of people who are directly related to each other.","This can be solved using QF_UF or QF_LIA, where we express a relationship between two individuals as an equivalence relation. We then use the fact that the size of an equivalence relation is equal to the number of pairs of distinct elements in the set. This allows us to compute the maximum number of people who are directly related to each other.","set-logic QF_UF\ndeclare-const N: int;\nassert(N = \n    (\n        for (i <- 0 .. < N) (\n            for (j <- i + 1 .. < N) (\n                assert(relationship(i, j)) = true); \n            )\n        )\n    );\ncheck-sat"
Prove that there exists an integer x such that x + 1 = 2 * x,Use QF_UF and set-logic to prove the statement,\n\n\n\n%declare \n\nx \n\nint\n\n
Prove that a person can go to exactly two different cities if they travel between cities in different countries.,"Using the QF_UF model with a set of cities and countries, prove that the person's travel history is consistent.",set-logic QF_UF\ndeclare-const city1 int\ndeclare-const city2 int\ndeclare-const country1 str\ndeclare-const country2 str\nassert (not (city1 = city2))\nassert (country1 != country2)\ncheck-sat
Prove that a person is either married or single.,(set-of-values x:Person; (set-of-assertions x:-single | x:-married)),define-struct Person () (; single : boolean ; married : boolean))\n\n(assert (not (and (single ?x) (not (married ?y))))\n\n(check-sat)
The relationship between Alice and Bob is that they are friends if their IDs match.,This can be expressed using QF_UF with a set of constraints on the identities of individuals.,(set-logic QF_UF\n  (declare-const alice_id int)\n  (declare-const bob_id int)\n  (assert (eq (id alice) (id bob)))\n  (check-sat)
Use QF_LIA to express the relationship between friends and their relationships with others.,Use QF_UF with a set of 'not' constraints to express the relationship between individuals.,\n\n(\n  (set-logic QF_UF)\n  \n  (declare-const J:bool)\n  \n  (assert (for-all \n    \n      \n      J)\n \n  \n  (not (and \n \n    (not (eq. J \n    true))\n \n    (or (leq. J \n     30) (geq. J \n     40))))
"Find all triples (a, b, c) where a has degree 2 in graph G and b is adjacent to both a and c",Use QF_LIA constraints to enforce the properties of the relationships.,declare-const G (\n\n  \n    node a : set(\n        degree : integer;\n        neighbors : set(node);\n    )\n);\n\ndeclare-const G1 (\n    \n      \n    \n    b : set(node);\n    \n    \n    c : set(node);\n)\n;\n\nassert (G1(a) = 2); -- degree of a is 2\n\nassert (G1(b) = 0); -- no neighbors for b\n\nassert (G1(c) = 0); -- no neighbors for c
Find all pairs of distinct people in a university with exactly one common friend.,Use QF_UF to model this relationship and QLIA to restrict the number of friends each person can have.,set-logic QF_UF\ndeclare-const u1 u2: set(u)\nassert\n    \n    (u1 == u2)\ncheck-sat
The set of all prime numbers less than or equal to 100,{(set-logic QF_UF) {(declare-const P UU)   assert (forall (x UU) ( eg ((xor x P) (xor P x)))),int printPrime(n: int): bool; \nprintPrime(i: int) if (i <= n) then \n  print(i); \n  return not (i = n);\nin.
The given social relationship is valid.,Use QF_UF and set-logic QF_UF to ensure validity of constraints.,set-logic QF_UF\nset-logic QF_LIA\ndeclare-const P: bool;\ndeclare-const E1: bool;\nassert P = true;\ncheck-sat
Prove that every person is related to themselves.,"Use QF_UF to assert that each person is connected to at least one other person, and then use QF_LIA to conclude that there are no cycles in the graph.",set-logic QF_UF\nset-logic QF_LIA\nassert (set-of x : person)\n(forall y (set-of z : person)\n(y <> z -> (z <> x)))\ncheck-sat
Prove that there exists an integer x such that x^2 + 1 = 0,Use QF_UF and set-logic to reason about the existence of solutions to this equation.,# SMT-LIB program\n%qf \n(declare-const x Int)\nassert (x^2 + 1 = 0)
"Prove that if person A is friends with person B, and person B is friends with person C, then person A is friends with person C","Use QF_UF and QF_LIA constraints to derive the desired implication. Use the following assumptions: (A,B) and (B,C), and (C,A).","set-logic QF_UF\n\ndefine-person A as (person1)\n\ndefine-person B as (person2)\n\ndefine-person C as (person3)\n\ndefine-rel friendship as (=A,B)\n\ndefine-rel friendship as (=B,C)\n\ndefine-const friendship_a as true\n\ndefine-const friendship_b as true\n\ndefine-const friendship_c as false\n\ndefine-constraint friendship_abc as (\n  friendship_A and friendship_B and friendship_C\n)n"
"Prove that for all integers n >= 5, n^2 + n - 13 > 0",The following statements are true:  - set-logic QF_UF - set-logic QF_LIA - declare-const n_ int - declare-variable x int - assert (x = 5) - assert (x^2 + x - 13 > 0),satisfy\n  f_n(int x) : x = 5;\n  x^2 + x - 13 > 0;
Prove that there exists an integer x such that x^2 + 1 = 4x and 2x > 0,"Using QF_UF with the set of variables {x} and the constraints from the problem statement, we can derive the following expression: 2 * (x^2 - 4) = 0. Solving for x, we get x = ±√16. Therefore, there exists an integer solution to the equation.",set-logic QF_UF\ndeclare-const x : integers\nassert (x^2 + 1 = 4*x)\ncheck-sat
"The friends of Alice are married, but Bob is not","To ensure this is true, we need to assert that (set-of-people x y) != (set-of-people x z)","declare-const alice: person(x); declare-const bob: person(y); declare-const married: bool(x, y); assert (!married(alice, bob)); check-sat"
Prove that there exists an integer x such that x^2 + 4x - 3 = 0,"To prove this equation has a solution, we can use the fact that it is a quadratic equation with two roots. We can also use the method of completing the square to simplify the equation.",set-logic QF_UF\n\ndeclare-const x : int\n\nassert (x^2 + 4x - 3 = 0)\n\ncheck-sat
Prove that a person is not a friend of themselves,"Use   to separate the reasoning into two parts: first, prove that an individual is friends with another if they have at least one movie in common, and second, prove the converse",declare-const friends (set-logic QF_UF)\nassert (for-all p (forall x (friend-of p x)))\n\ndeclare-const movies (set-logic QF_UF)\nassert (for-all m (member m (movies p)))
"Prove that for all positive integers n, exactly one of the following pairs holds: (1,2), (3,4), or ({}, {})",Use QF_UF and set-logic to derive this implication. Ensure the SMT-LIB code includes necessary declarations and constraints.,\n\n(\n  \n    \n      \n      (set-logic QF_UF)\n    \n  )\n\n(\n  \n    \n      \n      (declare-const N: bool)\n    \n  )\n\n(\n  \n    \n      \n      (assert (forall (n: int) (N n)))\n    \n  )\n\n(\n  \n    \n      \n      (check-sat)\n    \n)
Prove that a person is either married or single.,"To prove this, we can use QF_UF to check if the person has any children and then derive the desired property",(set-logic QF_UF) \n(declare-const Married Boolean)\n\n(assert (not Married))\n\n(check-sat)
Prove that there exists an integer x such that 2*x + 3 >= 0,"To prove this, we can use the QF_UF logic with 2*u + 3 <= -u for u >= 0. This is because for any non-negative integer u, 2*u + 3 will always be greater than or equal to 1, satisfying the condition.",set-logic QF_UF\n\ndefault-conjunction\n\ndeclare-const x int\n\ndefault-clause\n	assert (u = 0)\n\ndefault-assertion\n	assert 2*u + 3 >= 0
"The following social constraint is invalid: \nIt states that Alice and Bob are friends when they do not have a mutual friend, which is a contradiction.","\nTo resolve this conflict, we can add constraints to ensure that if Alice is friends with X, then X must also be friends with Alice. This can be achieved using the following QF_UF clause: (\n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n  \n)",satisfying_set_logic_qf uf; satisfying_assertions all set_logic uf; check_sat;
"Prove that there does not exist an ordered pair of integers (x, y) such that x = 2 and y = 4",This statement can be proven using the QF_UF rule and the fact that x cannot be both even and odd.,set-logic QF_UF\nassert (declare-const x Int)\nassert (declare-const y Int)\ncheck-sat
Prove that there exists an integer x such that x + 1 = 2*x,"\begin{align*} (\exists x (\forall y (y < x \ 2*y == x+y))) &ightarrow ((\exists z (z >= 0 \ z != -1)))) \end{align*}",\requires QF_UF \\defines solver \begin{array}{lcl} f: int \to bool \f(x) := \\ 2*x + 1 <= x; \ end{array}
Satisfying the social constraint: No two people in the same group.,Use QF_UF or QF_LIA to ensure that each person is in a unique set of groups.,declare-const G1 (set-of string); declare-const G2 (set-of string); declare-const G3 (set-of string);\n\ndeclare-const PEOPLE (list-of string); declare-const GROUPS (set-of setof string);\n\nassert (not (GROUPS G1)); assert (not (GROUPS G2)); assert (not (GROUPS G3));\n\ncheck-sat
Prove that there exists an integer x such that x^2 + 4 = 13,"Using QF_LIA, we can define the function f(x) = x^2 - 9 and check if it is satisfiable. If not, then we can conclude that there does not exist a solution for x.",int f(int x): return x^2 - 9; (set-logic QF_LIA (declare-const x int) (assert (forall (x : int) (f(x) <= 13))) ; (check-sat)
Prove that there exists an integer x such that 2x + 1 > 0,"To prove this, we can use the QF_LIA solver with the following constraints: (set-logic QF_UF) (declare-const x Int) (assert (>= 0 (1 + 2 * x)))",simplify_integers 2+Int: x -> (if (not (<= 0 x)) False; True)
A university has two classes: History and English.,The class that starts later must be the one with more students,\set-logic QF_UF\ \declare-const H : set of string\ \declare-const E : set of string\ \assert (H <= E)\ \check-sat
"Prove that if Alice and Bob both have a pet cat, then they are friends.","\begin{qf uf} \setof(x:person) (x ~ x.pet.cat) & (x ~ y.pet.cat) \declare-relation(p,q:friend)(p.y ~ q.y) \check-sat","assert (setof(x:person)) && (setof(y:person)) && (setof(z:person)) && (\n\begin{qf uf} \n\setof(x:person) (x ~ x.pet.cat) & (x ~ y.pet.cat) \declare-relation(p,q:friend)(p.y ~ q.y) \end{qf})"
PREDicates and Atomic Variables: Prove that there exists an integer x such that x^2 = 0,"The solution to this problem can be proven using QF_UF, given the constraints (set-logic QF_UF) and (declare-const x :: int). The key insight is to recognize that if there does not exist an integer x such that x^2 = 0, then we must have a contradiction. This would mean that either x or x+1 cannot be zero, which implies that x is not an integer, leading to a contradiction.",set-logic QF_UF\ndeclare-const x :: int\nassert (x^2 = 0)\ncheck-sat
