problem,reasoning,program
"A farmer has two fields: Field A and Field B. If it rains, both fields receive water, but only if it's not too hot.","let (   0:     assert (>= 20 any x) => (x = 'hot')   1:     assert (= 100 any y) => (y = 80)   2:     let (       z: set of string       f0: {x | x = 'hot', x < 20}       f1: {x | x = 'hot', x >= 20, x <= 30}       f2: {x | x = 'hot', x > 30})     assert (in z f0)     & (not in f1 f0)    & (in f2 f1)","\begin{set-logic QF_UF}\n\declare-const hot: bool;\n\declare-const wet: bool;\n\declare-const fieldA: set of string;\n\declare-const fieldB: set of string;\n\assert (>= 20 any x) => (x = 'hot')\n\assert (= 100 any y) => (y = 80)\n\let (\n    z: set of string\n    f0: {x | x = 'hot', x < 20}\n    f1: {x | x = 'hot', x >= 20, x <= 30}\n    f2: {x | x = 'hot', x > 30})\n\assert (in z f0) \n   & (not in f1 f0)\n   & (in f2 f1)\n\end{set-logic QF_UF}"
"Solve the following logic puzzle: P(x, y) implies Q(x, y).","Use the transitive property to derive Q(x, z) from Q(x, y) and Q(y, z)",(set-logic QF_UF)\n\n(declare-const P x : bool)\n(declare-const Q x y : bool)\n(assert (and (not (or P x True) (not (or Q x y))) (and P x False))))\n(check-sat)
"A farmer wants to irrigate all but two rows of his garden, and then water one row. What are the possible values for k?","To find the exact number of rows that will be irrigated, we need to use the set-logic QF_UF and check-sat constraints.",declare-const garden_rows : int; (set-logic QF_UF \n (declare-const k : bool))\n (assert (for-all (garden_rows >= 0) \n (and (not (or (= k true) (or (>= garden_rows 2) (<= garden_rows 5))) (not (= garden_rows 3))))))\n check-sat)
The Last Question,"Given a set of people and a set of positions, determine who will be sitting next to whom.",(set-logic QF_UF\n  (declare-const people (functor (Person)) (typeof person)\n  (declare-const pos (functor (Position)) (typeof position)))\n  (assert\n    (\n      for (for (people) (in range 1))\n        (\n          assert\n            (<= (get-attr people :id) (get-attr pos :x))\n            (>= (get-attr people :id) (get-attr pos :y)))\n        )\n    )\n  (check-sat)
"{   'problem': ""Solve the following puzzle: There are three switches, but they are not labelled. Each switch corresponds to one of three light bulbs in a room. Each bulb is either on or off. You can turn the switches on and off as many times as you want, but you can only enter the room one time to observe the bulbs. How can you figure out which switch corresponds to which light bulb?""",{   (set-logic QF_UF)   (declare-const bulb1 bool   bulb2 bool   bulb3 bool)   (declare-const switches [ bulb1 true    bulb2 false    bulb3 true ]   (assert not (switches[0]            or switches[1]            or switches[2]))   (check-sat),\u{4f}\u{49e2}\u{4f}\u{53}\u{54\u{51}\u{52}}
(set-logic QF_UF (declare-const x int) (declare-const y bool) (assert (>= x 0) (check-sat),"This is a simple problem that can be solved using basic arithmetic and logical constraints. The goal is to determine if the value of x is greater than or equal to 0, given that it is an integer.",(declare-const QF_UF\n(\n  (set-logic QF_UF\n)\n)\n(SMT-LIB code here)
(set-logic QF_UF   (declare-const x y int)   (assert x > 0)),"This is a simple logic puzzle where we are asked to prove that if x is greater than 0, then x is positive.",smt2\n  -file: test.smt\n  -model: unassumption\n  -format: latex
"A farmer has a field that can hold up to 1000 square meters of land. The field is currently empty, and it needs to be fenced in.",The farmer needs to fence in at least 800 square meters of land for this task.,(set-logic QF_UF)\n(\n  (declare-const F-field 0 : integer) \n  (declare-const T-acreage 0 : boolean)\n  (declare-const W-foots 1000 : integer)\n  (assert (= F-field 0))\n  (assert (> T-acreage 800))\n  (assert (= F-field 0))\n  (assert (= W-foots 1200)))
The Three Switches,"Use set-logic QF_UF and assert/declare/declare-const to model a problem where a person has three switches, labelled A, B and C, and each switch corresponds to one of three light bulbs in a room. The lights are initially off, and we can turn the lights on or off at most once per switch. We want to determine if it is possible to turn all the lights on with just two switch flips.","\n\nset-logic QF_UF\n\n\ndeclare-const A: bool \nA := false;\nA' := not A;\n\n\ndeclare-const B: bool \nB := false;\nB' := not B;\n\n\ndeclare-const C: bool \nC := false;\nC' := not C;\n\n\nassert all (A, A', B, B', C, C');\ncheck-sat;"
(set-logic QF_UF (declare-const x y 1)),(assert y = 1) && (check-sat),"#include <smt2.h>\n\nint main() {\n    int x, y;\n    assert(x == 1);\n    return 0;\n}"
A farmer has 5 baskets of apples and 3 baskets of oranges. How many baskets of fruit does the farmer have in total?,"Use QF_UF to define the set of integers representing the number of baskets for each type of fruit, and then use the <integer> constraint to bound the values.",(set-logic QF_UF\n    (declare-const apples 5 : integer)\n    (declare-const oranges 3 : integer)\n    (assert (> apples 0)\n             (< oranges 0)))\n    (check-sat)
The Three Switches,"{'type': 'deductive', 'constraints': ['\n  assert (x = 0)\n', '\n  assert (y = 1)\n', '\n  assert (z = 2)\n']}",{\n  set-logic QF_UF\n  declare-const x int;\n  declare-const y int;\n  declare-const z int;\n  assert (x = 0);\n  assert (y = 1);\n  assert (z = 2);\n  check-sat;
The Three Switches,Use set-logic QF_UF and assert/unify to prove that there is no valid assignment of colors to switches such that each switch corresponds to either red or green.,\n\n%set-logic qf uf\n\n%declare-const R true\n\n%declare-const G true\n\n%assert (R = G)\n\n%check-sat
Satisfying the following system of linear equations with integer coefficients and constraints,"Use QF_LIA or QF_UF to generate the model, then solve it using a solver like DPLL or CDT.",\n\n%define-model\n\n\nint x_0 y_1 z_2 x_3 y_4 z_5\n\n%d: (x_0 == 0) \n& (x_1 + x_2 == 0);\n%d: (y_0 == 0) \n& (y_1 + y_2 == 0);\n%d: (z_3 == 0) \n& (z_4 + z_5 == 0)\n\n%d: (x_1 == x_3) \n& (x_2 == x_4);\n%d: (y_0 == y_4) \n& (y_1 == y_5);\n\n%define-solver dpll\n\n%d: assert (dpl(1));\n%d: check-sat;\n\nint main() {\n  init(\n    \n      %define-model\n\n      ...\n\n\n  );\n  return 0;\n}
"A farmer has a chicken and some wheat. If she gives away half of her chicken, what fraction of her wheat remains?","If the farmer has x chickens and y wheat, then after giving away c/2 chickens, the farmer has (x-c)/2 wheat left.",- (set-logic QF_UF)\n - (declare-const x int)\n - (declare-const y int)\n - (assert > x 0))\n - (assert < x + y <= 100)\n - (assert >= (x / 2) + (y / 2)))\n - (check-sat)
(set-logic QF_UF (declare-const x 1 #t) (declare-const y 2 #f) (assert (x = true) (y = false))),to prove that x and not y are both true or both false using only basic arithmetic operations and equality checks,"\begin{RMF}\use_justification(2,10);\set_justification(1.5,0.5);\declare_justification(0.5,0.2);\declare_justification(1.25,0.8);\declare_justification(2.5,1.4);\begin{ratios}\  (ratios ((= x true) (x false)) \   (= y true) (y false));\end{ratios};\end{RMF}"
The set of all perfect numbers,"This is a classic problem in number theory, and it can be solved using QF_UF with constraints such as (forall x (<= 1000) (odd? x))","\begin{quote}\nset-logic QF_UF\n\ndeclare-const MAXN : int;\nfor \(i \in [1,MAXN] \) \n  declare-const isPerfect i : bool;\n\nassert (isPerfect 0);\n\ncheck-sat\n\nend\quote"
"Solve the puzzle: 5 cars are parked on the street, and each car has a different color. If we add 2 more cars with the same color, can you find the color of all 7 cars?",Use mod 3 to solve this problem by assuming that the total number of cars is divisible by 3.,\n\n(\n  \n    (\n      set-logic QF_UF \n      \n      (\n        declare-const C color: integer \n        \n        assert (\n          not (\n            or \n              (\n                set-param-assert (\n                  'C (0) = 0) \n                ) and \n                (\n                  set-param-assert (\n                    'C (1) = 1) \n                ) and \n                (\n                  set-param-assert (\n                    'C (2) = 2) \n                )) \n            ) \n          ) and \n          (\n            set-param-assert (\n              'total_cars = 5 + 2) \n            ) \n      ) \n      \n      (\n        declare-const c1 color: integer \n        \n        declare-const c2 color: integer \n        \n        assert (\n          (\n            set-param-assert (\n              'c1 = C (0)) \n            ) and \n            (\n              set-param-assert (\n                'c2 = C (0)) \n            ) and \n            (\n              set-param-assert (\n                'total_cars = 7) \n            ) \n          ) \n        ) \n      ) \n    ) \n  \n)
A farmer has a field with two rows and two columns. Each cell in the field can be either red or green. The farmer wants to know if it is possible to reach every cell from one corner to the other using only right and up moves.,This problem is a classic example of a constraint satisfaction problem (CSP) that can be solved using QF_UF and QF_LIA solvers in SMT-LIB. We need to find all possible valid paths from the top-left corner to the bottom-right corner while respecting the constraints.,\(set-logic QF_UF\n\(declare-const row1 int\n  row2 int\n  col1 int\n  col2 int\n  cell1 bool\n  cell2 bool\n  x1 int\n  y1 int\n  x2 int\n  y2 int\n  path list of (pair int int)\n  sats boolean)\n\(assert row1 = 0 && col1 = 0\n  assert row2 > 0 && col2 > 0\n  assert cell1 == false && cell2 == false\n  check-sat\n  path \)
Satisfy the following proposition: 2 + 2 = true.,This can be proved using the QF_UF rule and simple arithmetic constraints.,\( \set-logic QF_UF \n\n  \set-variables \( x: integer \) \n\n  \begin{align*} \x + x & = true \x & = true \end{align*}
The Three Switches,Use a model with three variables and two constraints to solve this puzzle.,(set-logic QF_UF)\n(define-variable x)\n(define-variable y)\n(define-constraint (<= 0  x (+ y)))\n(assert (not (= x 0)));\n(assert (not (= y 0)))\n(check-sat)
"Given integers a and b, find all pairs of distinct positive integers c and d such that a + b = c + d",Prove the validity of the following system using QF_UF or QF_LIA with integer constraints: (set-logic QF_UF)   (declare-const a Int)   (declare-const b Int)   (declare-const c Int)   (declare-const d Int)   (assert (a + b = c + d))   (check-sat),smt2 -v --out-of console/validity.smt2
Prove that the following statement is true: x = 5 and y != 3,"Use the QF_UF rule to combine the assertions of x = 5 and y != 3, then use the QF_LIA rule to prove the conjunction of these two statements. Finally, add a check-sat clause to verify that the system is satisfiable.",(set-logic QF_UF\n  (declare-const x Int)\n  (declare-const y Int)\n  assert (x = 5)\n  assert (y != 3)\n  check-sat)
"Solve the following puzzle: A bat and a ball together cost $1.10. The bat costs $1.00 more than the ball. If the ball costs x dollars, how much does the bat cost? y.",$y-x=0.10\quad$y>x$,\left( \setlogic QF_UF \right)\left( \declare-const x real > 0 \declare-const y real > 0 \assert y - x = 0.1\n\assert y > x\n\setofy <= 10\n\let b = $x + 1\let a = $b - 1 \check-sat\n
"A 5-person committee must be formed from a group of 8 people, and each person can only speak on one topic.",Use set-logic QF_UF to ensure that each member speaks only once and use   for newlines inside the SMT string.,\n(\n  \n    (set-logic QF_UF)\n  \n    (declare-const P: Person (\n      (name \n      (int))\n    )\n  \n    (declare-const C: Committee (\n      (members \n      (list-of Person)))\n    )\n  \n    (assert \n      (forall x ((x : P) -> \n        (forall y ((y : P) -> (C : x = C ? y))))))\n
The Five Houses Puzzle,Use QF_UF to express that each house is occupied by either a person or an animal.,\(set-logic QF_UF\) \n\(declare-const H1 House_1 \n H2 House_2 \n H3 House_3 \n H4 House_4 \n H5 House_5 \n\nassert (H1 = H2) \n assert (H1 = H3) \n assert (H2 = H4) \n assert (H3 = H5) \n check-sat
"A farmer has N cows to milk. The first cow can be milked at most once per day, and each cow takes at least one hour to milk. If the farmer starts with an empty fridge, how many days will they need to milk all their cows?","To solve this problem, we can use the QF_UF logic, which allows us to represent the constraints as a set of clauses with atomic propositions representing the number of cows and hours spent milking. We can then use the 'check-sat' solver to find an optimal solution.",set-logic QF_UF\ndeclare-const N : int > 0;\nassert (N >= 1)\nassert (N <= 10);\nassert (let x = < N > 2):\n  declare-const hours : bool > 2;\n  for (int i = 3; i <= N; i++) {\n    assert (hours[i] = true);\n  }\ncheck-sat
The Three Switches,"A man, a plan, and a switch. He flips the first switch, but the second one doesn't work. He then tries the third one, which works as expected.",{\n  (set-logic QF_UF)\n  (declare-const x int\n  x <= 1)\n  (assert x = 0)\n  (declare-const y bool\n  y <= 1)\n  (declare-const z int\n  z >= 2)\n  (declare-const a int\n  a <= 3)\n  (declare-const b bool\n  b <= 4)\n  (declare-const c int\n  c > 0)\n  (declare-const d int\n  d = x + y + z + a + b + c)\n  (check-sat)
The Three Switches,(set-logic QF_UF) (declare-const x 1) (assert (x = 0)) (check-sat),\n\n\n\n\n(\nfix y 3\n(fix z 2\n(if y > 0 \n  fix x 1 \n elif y = 0 \n   fix x 2 \n else \n   fix x 3)\n);
"A farmer has two fields, A and B. Field A contains all the apples from both fields combined. If field C contains only apples that are red, then field D must contain at least half of field A's apple count.","Use QF_UF and QF_LIA to solve this problem. Consider the constraints (set-logic QF_UF) and (declare-const ...). Use assert statements to define field A and field B. Assume all apples are either red or not red for field C, then use modularity on field D.","\s*(\w+)\s*:\s*set-logic\s+QF_UF\n\s*declare-const\s+A: boolean\s*A:\s*assert\s*A\s*,\s*B: boolean\s*B:\s*assert\s*B\n\s*check-sat\n"
A farmer has 5 sheep and wants to build a fence around them. The fence must be at least 3 meters long and can have a maximum of 10 meters in the middle.,Use QF_UF constraints to ensure that the fence can accommodate all the sheep while leaving some buffer space on each side.,(set-logic QF_UF)\n\n(declare-const S 1 (int)\n  (A 3 10)\n  (B 2 10)\n  (C 4 7))
A farmer has 'm' chickens and wants to know if they are all happy.,The answer is yes if and only if m = 5 or m = 6,\n\n\n\n\n%set-logic QF_UF\n%declare-const m int\n\n%assert (m <= 10)\n\n%check-sat
The Life of Pi,"Use QF_UF and assert constraints on pi, x, and y.",\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n
"A farmer has three fields: A, B and C. Field A has 4 rows and 5 columns, field B has 3 rows and 6 columns and field C has 2 rows and 8 columns. The farmer wants to know how many hot peppers are in each field.","The total number of hot peppers in all fields is equal to the sum of the products of the number of rows and columns in each field, multiplied by a constant (1).",\n\ndeclare-const A_rows : int;\nA_cols : int;\ndeclare-const B_rows : int;\nB_cols : int;\ndeclare-const C_rows : int;\ndeclare-const C_cols : int;\nassert (\n  A_rows * A_cols + B_rows * B_cols + C_rows * C_cols =\n    4 * 5 + 3 * 6 + 2 * 8);\ncheck-sat;
Satisfying the equation x^2 + y^2 = 1,Use QF_UF and assert constraints to prove this equation holds true for all possible values of x and y.,(set-logic QF_UF)\n\n(declare-const x int)\n(declare-const y int)\n(assert (x^2 + y^2 = 1))\n(check-sat)
"\(\(\{1:2, 3:4} \) -> (false))",(set-logic QF_UF) (declare-const X int) (assert (X = 1) (check-sat),"smt2\n-\(\(\{1:2, 3:4} \) -> (false))"
The Five Houses Puzzle,"To solve this puzzle, we need to figure out where each of five houses are located given that there are two families with three houses each and one house is empty.",\begin{pmatrix} (set-logic QF_UF) \ (declare-const h1 0 : integer) \ (declare-const h2 0 : integer) \ (declare-const h3 0 : integer) \ (declare-const h4 0 : integer) \ (declare-const h5 0 : integer) \ (assert (<= h1 h2) \ <= h2 h3) \ (assert (<= h1 h2) \ <= h3 h4) \ (assert (<= h1 h2) \ <= h4 h5) \ (assert (>= 0 h1) \ >= 0 h2) \ (assert (>= 0 h1) \ >= 0 h3) \ (assert (>= 0 h1) \ >= 0 h4) \ (assert (>= 0 h1) \ >= 0 h5) \ (check-sat)\n(declare-const family1 1 : integer) \ (declare-const family2 2 : integer) \ (declare-const family3 3 : integer) \ (declare-const house1 4 : integer) \ (declare-const house2 5 : integer) \ (declare-const house3 6 : integer)\n(declare-const empty 7 : boolean)\n(verify-sat)
(set-logic QF_UF) (declare-const x 1  # t) (assert (<= 0 (and x 2) (add 3 x))) (check-sat),"Using the <a href=""https://www.sat.inf.u-bremen.de/"">SAT solver</a> to verify the satisfiability of the given formula. We found that it is unsatisfiable for all values of x.",smtplib
The Three Switches,(set-logic QF_UF 	(declare-const x 1) 	(declare-const y 2) 	(assert (not (= x 0))) 	(check-sat),declare-constant zero 0;\ndeclare-constant one 1;\nassert (not (= x 0));\ncheck-sat
The Three Switches,QF_UF and set-logic QF_LIA,"\begin{utils} \begin{setoforeach\label{x}\forall i (i <= 3) \begin{cases}\    \end{cases}\end{setoforeach}\begin{declare-const}s1 real\s2 real\s3 real\s4 boolean\s5 boolean\s6 boolean\s7 integer\s8 integer\s9 integer\s10 int\s11 bool\s12 int\s13 int\s14 int\s15 bool\\nassert (x = 0); \nfor i in [1,2,3] {\n    s1 <= x; \n    s2 <= x; \n    s3 <= x;\n    assert (i == j);\n}\ncheck-sat;\nend{utils}"
"A farmer has 5 rows of flowers in her garden, and each row can have at most 3 flowers. The number of flowers in each row must be an integer between 0 and 4 (inclusive).",The number of flowers is a valid integer.,set-logic QF_UF\ndeclare-const rows : int[]\nassert (for-all i:\n    for-all j:\n        assert (rows[i] <= 3 && rows[j] > 0)\n)
Satisfying a simple equation,"Use “<~{ to enforce an inequality, and ”<~~ to enforce equality.",\u2220©\u003c<~\u007b (x \u0024 y) <= 10;\u003e <~\u007e (x + y = 5)
Satisfying the parity of three switches,"Use QF_UF and set-logic to define two variables per switch, then assert the equality of their combinations. Use check-sat to verify if there are no contradictions.",\n\n(\n  \n    (set-logic QF_UF)\n  \n    (declare-const x1 int)\n  (declare-const y1 int)\n  (declare-const z1 int)\n  (assert (not (= x1 y1)))\n  (assert (not (= x1 z1)))\n  (assert (not (= y1 z1)))\n  (check-sat)\n)
Satisfying the Chicken McNugget Theorem,The Chicken McNugget Theorem states that the sum of two relatively prime numbers has a unique representation as a linear combination of those two numbers. Prove this theorem using QF_UF and SMT-LIB.,\s*(set-logic\s+QF_UF\s+(declare-const\s+a:integer\s*\geq0\s*and\s*1=<=a\s*and\s*a+b:integer\leq2\s*and\s*not(\s*(|a-b|:mod a*b))\s*and\s*(check-sat\s*with\s+a\s+b\s*only\s*1)\s*)\s*\n+\s*(declare-const\s*e:integer\s*range0\s*to2\s*\n+\s*(assert\s*(a+b=e))\n+\s*(check-sat\s*with\s+a\s+b\s*e\s*only\s*1)
The Three Switches,Use a switch statement to determine which color shirt to wear based on the day of the week.,"\begin{prog}{\nset-logic QF_UF\ndeclare-const Day int;\ndeclare-const Weekday int;\nassert \'(Day == Monday) or (Day == Tuesday) or (Day == Wednesday) or (Day == Thursday) or (Day == Friday);\ncheck-sat\nforall D W\n  \'(D in [Monday, Tuesday, Wednesday, Thursday, Friday] and W = Day(D))\n  \'\n  \'(W in [Saturday, Sunday]);\n}\n"
"A farmer has three fields of wheat: Field A, Field B, and Field C. Each field can hold either 0 or 1 units of wheat. The farmer needs to determine which field holds how many units of wheat based on the following clues.",Use QF_UF (Universal Forcing) and assert constraints for each field to deduce its contents.,\n\n(\n  \n    \n      \n    \n      \n      \n      \n      \n      \n      \n      \n      \n      \n      \n      \n      \n    \n    \n  \n)\n\n(\n  \n    \n    \n    \n    \n   \n    \n    \n   \n    \n   \n   \n    \n    \n   \n   \n   \n   \n\n(\n  \n    \n    \n    \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n\n(\n  \n    \n    \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n\n(\n  \n    \n    \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n   \n)\n
"Satisfy the following logical equation using QF_UF and QF_LIA rules, with constraints of type integer.",This puzzle requires the solver to use QF_UF and QF_LIA rules to derive a solution from a set of simple constraints. The solution should be an integer.,\(set-logic QF_UF\) \(declare-const x int\) \(declare-const y int\) \(assert (x > 0)\) \(assert (y > 1)\) \(check-sat)
"A farmer has two fields, A and B. Field A can hold at most 1000 units of soil, and field B can hold at most 2000 units of soil. The farmer wants to know if it is possible to allocate the soil between the two fields such that field A does not exceed its capacity and field B does not exceed its capacity.","use QF_UF to add constraints on the number of units in each field, check-sat to verify the validity of the constraints",set-logic QF_UF\ndeclare-const A:Int\ndeclare-const B:Int\nassert A <= 1000\nassert B <= 2000\ncheck-sat
"Solve the following logic puzzle: There are three switches, but they are not labelled. Each switch corresponds to one of three light bulbs in a room. Each bulb is either on or off. You can turn the lights on and off as many times as you want, but you can only enter the room one time to observe the bulbs.",Use QF_UF to model the switches and their corresponding light bulbs. The only constraints should be integer variables for the number of times each switch has been turned on or off.,declare-const bulb1 <0>;\ndeclare-const bulb2 <0>;\ndeclare-const bulb3 <0>;\nassert bulb1 == 0;\nassert bulb2 == 0;\nassert bulb3 == 0;\ncheck-sat;
The set of all perfect squares between 0 and 100,"Use QF_UF to express that a number is either even or odd, then use the property (forall x (x = 0) -> (not (x^2))) to assert that there are no perfect squares less than 100.",set-logic QF_UF\ndeclare-const x : int\nassert (forall x (\n    (or (= x 0) (= x mod 2 = 0))\n)\ncheck-sat
The Five Houses Problem,Use QF_UF and QF_LIA solvers to prove the following statement: There exists an integer x such that x^2 + x + 1 = 5x + 4 or (x == 0 and y == 2) or (x == 3 and y == 1),\n\ndeclare-const x : int;\n\nassert (x^2 + x + 1 = 5x + 4);\n\ncheck-sat;
\u03c0\u202f\u2228\u221a\u203b\u2153\u2192\u2115\u20d1\u2164\u217e\u22cc\u2202\u2189\u2164\u223b\u2193\u214f\u2187\u212a\u215c\u2236\u219d\u2210\u2135\u2188\u217c\u2221\u218a\u216f\u220e\u2192\u211c\u2153,\u03b7\u2129\u20ac\u201d\u2060\u2035\u2130\u2211\u2148\u218a\u2164\u217e\u22cc\u2202\u218f\u2153\u219b\u222c\u2207\u2189\u207d\u2066\u2120\u20ac\u201d\u2035\u2130,\u03c0\u202f\u2153\u2192\u2115\u20d1\u2164\u217e\u22cc\u2202\u2189\u2164\u223b\u2193\u214f\u2187\u212a\u215c\u2236\u219d\u2210\u2135\u2188\u217c\u2221
