problem,reasoning,program
Resource allocation problem,Satisfiability Reasoning and Computation System,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation problem,Use QF_UF and QF_LIA rules to model the resource allocation problem.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation,Use QF_UF and QF_LIA to model the resource allocation problem.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation: Assigning resources to processes,"Using QF_UF and QF_LIA, derive that there exists a valid assignment of resources to each process such that the total resource usage is non-negative.",(set-logic QF_LIA) (declare-const to Int) (assert (and (>= to 0) (<= to 10))) (check-sat)
resource_allocation,use QF_UF and QF_LIA to model resource allocation problems,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,Use QF_UF and QF_LIA rules to ensure fairness in resource allocation.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation problem,Use QF_UF and QF_LIA to model the resource allocation problem.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
"Resource allocation problem: 5 machines, 3 software licenses",Using QF_UF with constraints on machine availability and license usage.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 5) (<= X 3))) (check-sat)
Resource Allocation Problem,Use QF_UF and QF_LIA to model resource allocation constraints.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation problem,Use QF_UF and QF_LIA rules to reason about resource allocation.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation: Assigning resources to processes,"Use QF_UF and QF_LIA constraints to model resource allocation, considering bounds on resources and process demands.",(set-logic QF_LIA) (declare-const to Int) (assert (and (>= to 0) (<= to 10))) (check-sat)
Resource Allocation Problem,Using QF_UF with set-logic and declare-const constraints to model the allocation of resources between two processes.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation,Using QF_UF with linear constraints to optimize resource usage.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Allocate resources to tasks with minimum latency,"{'variables': [{'name': 'latency', 'type': 'int'}], 'assumptions': ['(set-logic QF_UF)', '(declare-const task1-latency 10)', '(declare-const task2-latency 5)'], 'conclusions': ['(assert (leq task1-latency task2-latency 5))']}",(set-logic QF_LIA) (declare-const to Int) (assert (and (>= to 0) (<= to 10))) (check-sat)
Resource allocation problem,Use QF_UF and QF_LIA logical frameworks to model resource allocation.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
"{'name': 'Resource Allocation', 'description': 'A problem of resource allocation in a computer system', 'satisfiability': False}","{'rule1': '(set-logic QF_UF)', 'rule2': '(declare-const x integer)', 'rule3': '(declare-const y boolean)'}",(set-logic QF_UF) (declare-const A Bool) (assert (= A true)) (check-sat)
Resource Allocation Problem,Using QF_UF and set-logic to model resource allocation problem,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
(set-logic QF_UF (declare-const x y Z),"This is a valid program, and it will always find a solution.",(set-logic QF_LIA) (declare-const Z Int) (assert (and (>= Z 0) (<= Z 10))) (check-sat)
Resource allocation: Assigning resources to tasks,Use QF_UF and QF_LIA rules to reason about resource availability,(set-logic QF_LIA) (declare-const to Int) (assert (and (>= to 0) (<= to 10))) (check-sat)
Resource allocation problem,"Use QF_UF and QF_LIA rules to model resource allocation problems, ensuring that resources are allocated in an optimal manner.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,Use QF_UF to find valid assignments that satisfy all constraints.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,Satisfiability of Resource Allocation Constraints,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,Using QF_UF with set of variables and assertions to solve a resource allocation problem.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
\(set-logic QF_UF\) \(declare-const x_0 bool\) \(assert (x_0 = true)\),\(check-sat\),(set-logic QF_LIA) (declare-const X Int) (assert (= X 5)) (check-sat)
Resource Allocation Problem,Use QF_UF and QF_LIA rules to model resource allocation constraints.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,Use QF_UF or QF_LIA constraints to model resource allocation.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,Use QF_UF and QF_LIA solvers to find an optimal assignment of resources.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation problem,Use QF_UF and QF_LIA axioms to reason about resource allocation.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,Use QF_UF or QF_LIA with integer constraints and assert the satisfiability of the program.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation problem,Use QF_UF and QF_LIA quantifiers to model the problem.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,Use QF_UF and QF_LIA constraints to model resource allocation.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation: Assigning resources to tasks,Use QF_UF and QF_LIA rules to constrain resource allocation.,(set-logic QF_LIA) (declare-const to Int) (assert (and (>= to 0) (<= to 10))) (check-sat)
Resource Allocation: Minimize the number of machines used in the data center,"Use QF_UF and QF_LIA to model this problem, and ensure that it includes  - (set-logic QF_UF) or QF_LIA. Use simple integer constraints for machine utilization.",(set-logic QF_LIA) (declare-const in Int) (assert (and (>= in 0) (<= in 10))) (check-sat)
Resource allocation: Assigning resources to tasks,"Using QF_UF and QF_LIA constraints to ensure fairness in resource allocation, while also ensuring that the system is satisfiable.",(set-logic QF_LIA) (declare-const to Int) (assert (and (>= to 0) (<= to 10))) (check-sat)
Prove that it is possible to allocate resources such that all devices are used and no device is idle,(set-logic QF_UF) # Define the universe of discourse as integers from 0 to N-1 (where N is the number of devices)  (set-logic QF_UF)(declare-const N: int)  (assert (>= N 2))  (check-sat),(set-logic QF_LIA) (declare-const is Int) (assert (and (>= is 0) (<= is 10))) (check-sat)
Resource allocation problem,To allocate resources such that no two processes are running concurrently.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,This problem is a classic example of a resource allocation problem in computer science.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation: Assigning Resources to Jobs,"Use QF_UF and QF_LIA constraints, and ensure that all constraints are linear and integer/boolean.",(set-logic QF_LIA) (declare-const to Int) (assert (and (>= to 0) (<= to 10))) (check-sat)
Resource Allocation Problem,Integer Variables with Bounds,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation,Use QF_UF and QF_LIA solvers to reason about the resource allocation problem.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation: Assigning resources to servers in a cloud-based data center,Use QF_UF and QF_LIA constraints to model the resource allocation decision.,(set-logic QF_LIA) (declare-const a Int) (assert (and (>= a 0) (<= a 10))) (check-sat)
Resource Allocation Problem,"Using QF_UF and QF_LIA, prove that we can allocate resources to tasks such that no task exceeds its allocated capacity.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,Use QF_UF or QF_LIA logic to reason about resource allocation.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation problem,"Using QF_UF and QF_LIA rules, derive a valid solution that maximizes resource utilization.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,Use QF_UF and QF_LIA constraints to model resource allocation problems.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation: Minimize the number of printers used,"Using QF_UF and QF_LIA constraints, prove that it is not possible to allocate enough printers to satisfy all user requests without exceeding the available capacity.",(set-logic QF_LIA) (declare-const of Int) (assert (and (>= of 0) (<= of 10))) (check-sat)
Resource Allocation Problem,Use QF_UF or QF_LIA theory to reason about resource constraints.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,Use QF_UF and QF_LIA constraints to model resource allocation.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,Use a satisfiability solver to verify that a valid integer solution exists.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation problem,Use the QF_UF and QF_LIA logics to model the resource allocation problem.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
{'smtplib': 'int(x) <= x + 1'},Satisfiability with constraints (set-logic QF_UF; assert x > 0; check-sat),(set-logic QF_LIA) (declare-const x Int) (assert (= x 1)) (check-sat)
Resource allocation problem,This problem involves allocating resources to tasks with different priorities and constraints.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation: Assign 5 people to 3 teams with no overlaps,Use QF_UF and QF_LIA constraints to model this problem.,(set-logic QF_LIA) (declare-const no Int) (assert (and (>= no 5) (<= no 3))) (check-sat)
Resource Allocation Problem,"To allocate resources efficiently, we need to minimize waste and maximize utilization of available resources.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,Use QF_UF and QF_LIA to model resource allocation problems.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,Use QF_UF or QF_LIA to represent resource allocation constraints.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,Use QF_UF and QF_LIA constraints to represent the resource allocation problem.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation,Use QF_UF and QF_LIA rules to model resource allocation problems,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation problem: Ensure that the minimum number of resources required to satisfy all constraints is achieved,Use QF_UF and QF_LIA rules to reason about the satisfiability of the given constraints.,(set-logic QF_LIA) (declare-const is Int) (assert (and (>= is 0) (<= is 10))) (check-sat)
Resource allocation problem,Use QF_UF and QF_LIA rules to model the resource allocation problem.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation,"{'type': 'model-checking', 'description': 'Verify that a resource allocation model satisfies QF_UF and QF_LIA constraints.'}",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,Use set-logic QF_UF and declare-const to specify resource allocation constraints.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,This problem involves finding an optimal assignment of resources to tasks.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation,Use QF_UF and QF_LIA rules to formulate a valid resource allocation problem.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation,"Use QF_UF and QF_LIA solvers, and assert that the program produces exactly one solution.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation: Maximize production of 5 units while minimizing waste,"Using QF_LIA and set-logic QF_UF, the following constraints can be derived.",(set-logic QF_LIA) (declare-const of Int) (assert (and (>= of 5) (<= of 15))) (check-sat)
{'input': '\\(set-logic QF_UF\\) \\n \\n (declare-const x Int\\n \\n assert (x = 0)\n \\n check-sat)'},This SMT-LIB program checks if a number is zero,(set-logic QF_LIA) (declare-const n Int) (assert (= n 0)) (check-sat)
Resource Allocation Problem,Use QF_UF and QF_LIA to model this problem and ensure validity.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation problem: assigning 10 units of CPU to process 1 and 5 units to process 2,Use QF_UF and QF_LIA constraints to model the resource allocation problem. Ensure that the total number of units allocated is exactly 15.,(set-logic QF_LIA) (declare-const of Int) (assert (and (>= of 10) (<= of 1))) (check-sat)
Resource Allocation: 3 cars and 4 passengers,Use QF_UF and set-logic to ensure that each passenger has at least one seat,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 3) (<= X 4))) (check-sat)
Resource allocation optimization,Use QF_UF and QF_LIA constraints to model resource allocation problems.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation,Use QF_UF and assert/declare/check-sat to model resource allocation.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,"(set-logic QF_UF) (declare-const x (int)) (assert (not (= 2, 0))) (check-sat)",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,Use QF_UF or QF_LIA to specify the resource allocation model.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation: Ensure that the minimum number of units required to satisfy all resource constraints is met,"Use QF_UF and QF_LIA to reason about the satisfiability of the program, and check for validity using SMT solver.",(set-logic QF_LIA) (declare-const is Int) (assert (and (>= is 0) (<= is 10))) (check-sat)
Resource allocation problem,Use QF_UF with assert statements to model this problem.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation,Use QF_UF and QF_LIA rules to ensure feasibility.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
"Resource allocation problem: 5 agents, each with capacity 2 and deadline 10",Use QF_UF and QF_LIA rules to prove existence of a solution that satisfies all constraints,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 5) (<= X 2))) (check-sat)
Resource Allocation Problem,ρ - {set-logic QF_UF         assert (2 > 0)},(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource allocation problem,Use QF_UF and QF_LIA rules to solve this optimization problem.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Resource Allocation Problem,Use QF_UF and QF_LIA solvers with simple integer constraints to model this problem.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
"A woman has two coins that total 30 cents. One coin is not a nickel, and one coin is not a quarter. What type of coin are they?","To solve this problem, we can use QF_UF (Universal First-Order Formula) to represent the given constraints. We need to find two integers x and y such that x + y = 30, x is not equal to 5 (nickel), and y is not equal to 10 (quarter).",(set-logic QF_LIA) (declare-const A Int) (declare-const a Int) (assert (and (>= A 0) (<= A 10))) (assert (and (>= a 0) (<= a 10))) (assert (= (+ A a) 30)) (check-sat)
Solve for x: 2*x + 5 = 11,Use QF_LIA and set-logic to model this equation as an equality of integer constraints.,(set-logic QF_LIA) (declare-const x Int) (assert (= x 2)) (check-sat)
"A farmer has a field with 3 rows and 4 columns. Each cell can hold either an integer from 1 to 10, inclusive.","{   (set-logic QF_UF)   (declare-const row1 int   row2 int   row3 int),   (declare-const col1 int   col2 int   col3 int),   (assert (>= row1 1)            (<= row1 10))   (assert (>= row2 1)            (<= row2 10))   (assert (>= col1 1)            (<= col1 4))   (assert (>= col2 1)            (<= col2 3))   (assert (>= col3 1)            (<= col3 4))   (check-sat)}",(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 3) (<= A 4))) (check-sat)
3+2=5,"Using QF_LIA, we can assert that the sum of two integers less than or equal to 10 is greater than 1 and less than or equal to 15.",(set-logic QF_LIA) (declare-const X Int) (assert (= X 3)) (check-sat)
Solve for x: 2*x + 5 = 11,"Use QF_LIA with constraints: x >= 0, 2x <= 6",(set-logic QF_LIA) (declare-const x Int) (assert (= x 2)) (check-sat)
(set-logic QF_UF (declare-const x 1) (assert (>= x 0)) (check-sat),"This is a simple satisfiability problem, where we need to find an assignment of values to the variable x such that all constraints are satisfied.",(set-logic QF_LIA) (declare-const x Int) (assert (= x 1)) (check-sat)
"Solve the following logic puzzle: A bat and a ball together cost $1.10. The bat costs $1.00 more than the ball. If you have 5 times as many bats as balls, how much will you pay?","Let B represent the number of balls and B+ represent the number of bats. From the first equation, we get: B + (B+1) = 10. This simplifies to 2B + 1 = 10, or B = 4.5. Since you can't pay for a fraction of a bat, this means that the only possible solution is to have 5 balls and 4 bats.",(set-logic QF_LIA) (declare-const A_slot Int) (assert (and (>= A_slot 1) (<= A_slot 1))) (declare-const If_slot Int) (assert (and (>= If_slot 1) (<= If_slot 1))) (assert (distinct A_slot If_slot)) (check-sat)
The Five Houses Puzzle,Use the QF_UF and QF_LIA rules to prove that there is only one possible placement of the five houses.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
The Five Switches,"Use QF_LIA and set-logic QF_UF to prove that there is exactly one way to program a computer to switch between five lights on, one at a time, while the lights are off.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Prove that there exists an integer x such that x^2 + x - 5 = 0,"Use QF_UF and set-logic to prove the existence of a solution, and use check-sat to find it.",(set-logic QF_LIA) (declare-const an Int) (assert (= an 2)) (check-sat)
The Five Houses,"Using set-logic QF_UF and quantifiers, prove that there exists a house on each row such that at least one of its doors is open.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
The Three Switches,Use QF_UF and QF_LIA to prove that there exists a number between 1 and 3 that has exactly one switch on.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
The Three Switches,(set-logic QF_UF) (declare-const x true) (declare-const y false) (declare-const z true),(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
The Five Houses Problem,"To solve this problem, we need to use the QF_UF and QF_LIA SMT-LIB rules.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
"A man, a plan, a canal, Panama!",(set-logic QF_UF   (declare-const X 0 5)   (declare-const Y 5 10))(assert (>= X 1) (<= Y 4))   (check-sat),(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 0) (<= A 10))) (check-sat)
The Three Switches,Use QF_UF and assert statements to prove that there is a unique solution to this puzzle.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
The set of integers from 1 to 10 that are divisible by both 3 and 5.,(set-logic QF_UF) (declare-const I int) (assert (<= 1 10) (check-sat),(set-logic QF_LIA) (declare-const by Int) (assert (and (>= by 1) (<= by 10))) (check-sat)
The Five Houses Problem,"To solve this puzzle, we need to find a valid assignment of integers from 1 to 5 to the five houses such that no two adjacent houses have more than one occupant.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Solve for x: 2*x + 5 = 11,Use QF_UF to represent linear equations and solve for x.,(set-logic QF_LIA) (declare-const x Int) (assert (= x 2)) (check-sat)
"A farmer has 'a' apples and 'b' bananas in his orchard. The number of apples is greater than twice the number of bananas, and both fruits must be non-negative.",The constraints are: (set-logic QF_UF) (declare-const a int > 0) (declare-const b int > 0) (assert (a > 2 * b) (check-sat),(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 0) (<= A 10))) (check-sat)
"A farmer has three fields: A, B, and C. Field A can hold values 0 through 9. Field B can hold values -1 through 1. Field C can only hold the number 5.","The farmer needs to ensure that field C holds a value of either 0 or 4. If field A holds any other value, then field C must be 0. Otherwise, if field A is 5 or greater, then field B must be -1.",(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 0) (<= A 9))) (check-sat)
(set-logic QF_UF   (declare-const x 9)   (declare-const y 10)   assert (>= x 0)   assert (<= y 100)   check-sat),Satisfiability isomorphism using UFL constraints and linear integer programming.,(set-logic QF_LIA) (declare-const x Int) (assert (= x 9)) (check-sat)
Satisfy the following set of constraints on the variable x.,Use the quantifier 'for all' to generalize over all natural numbers n.,(set-logic QF_LIA) (declare-const of Int) (assert (and (>= of 0) (<= of 10))) (check-sat)
A farmer has 5 sheep and 3 goats. How many animals does she have?,(set-logic QF_UF  (declare-const A int  (A = 5)  (G int  (G = 3)))  (assert < A + G > 0)),(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 5) (<= A 3))) (check-sat)
The Set of Twin Primes,- Prove that there do not exist two prime numbers p and q such that pq = 2.,(set-logic QF_LIA) (declare-const of Int) (assert (and (>= of 0) (<= of 10))) (check-sat)
A 5-person committee needs to decide on a project leader.,Use QF_UF and assert constraints like (equal (= 1 2)) or (not (equal (= 3 4))).,(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 5) (<= A 15))) (check-sat)
A Farmer Needs Water,"The farmer needs to water his crops with an exact amount of water, which should be a multiple of 2.",(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 0) (<= A 10))) (check-sat)
Solve for x: 2x + 5 = 11,Use QF_UF and set-logic (maximize) to find an optimal solution.,(set-logic QF_LIA) (declare-const x Int) (assert (= x 5)) (check-sat)
The Five Houses Problem,"To solve this problem, we need to assign numbers to each of the five houses such that each house is assigned a number between 1 and 5 (inclusive), and no two adjacent houses have the same number.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
The Three Switches,Use the rules provided by the problem to construct a valid solution.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
The Five Houses Puzzle,"To solve this puzzle, we need to find a valid assignment of integers from 1 to 5 to the five houses such that each house is either occupied by an integer or not.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
A farmer wants to optimize his irrigation system to minimize water waste.,"To solve this problem, we can use QF_UF and QF_LIA SMT-LIB rules to check if it's possible to irrigate all fields with the given amount of water.",(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 0) (<= A 10))) (check-sat)
"Solve the following puzzle:  3 x + y = 6, 2x - y = 4.",(set-logic QF_UF) (declare-const x Int) (declare-const y Int) (assert (>= x 0) (assert (>= y 0)) (verify-sat),(set-logic QF_LIA) (declare-const x Int) (assert (= x 3)) (check-sat)
"A person is standing next to a box with an unknown weight. The box has a label that says 'Heavy' if its weight is greater than 10 kg and 'Light' otherwise. The person is holding the box, but they don't know which side it's on. What can be said about the box?","Using QF_UF, we can assert that the box is either Heavy or Light.",(set-logic QF_UF) (declare-const A_friend_a Bool) (declare-const a_friend_A Bool) (assert (= A_friend_a a_friend_A)) (assert (= A_friend_a true)) (check-sat)
"There are three switches: hot, cold and off.  You can turn on any two switches at once using one of the following operations:  1. Turn on switch A and then off switch B.  2. Turn on switch C and then off switch D.  3. Turn on switch B and then off switch D.  4. Turn on switch A and then turn on switch C.  5. Turn on switch C and then turn on switch D.","This is a classic puzzle that can be solved by applying the rules of logic, using simple Boolean constraints (AND/OR) to represent the conditions for each step.",(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 1) (<= A 2))) (check-sat)
"A man, a plan, a canal, Panama!",(set-logic QF_UF   (declare-const X 0 5)   assert (<= X 0)   check-sat),(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 0) (<= A 10))) (check-sat)
The Five Houses Puzzle,"To solve this puzzle, we need to use QF_UF constraints to represent the relationships between the houses and their occupants.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
The Three Switches,Use QF_UF to create a function symbol and apply it to three variables in a predicate.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Satisfy the following statement,Use the QF_UF and QF_LIA rules to generate a model that satisfies this statement.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Satisfying a linear equation with two variables,Use QF_UF to ensure equality and QF_LIA to allow variable combination.,(set-logic QF_LIA) (declare-const a Int) (assert (and (>= a 0) (<= a 10))) (check-sat)
Find integers x such that x^2 + 1 = x+3,This equation can be solved using QF_UF with the following constraints: (set-logic QF_UF) and (declare-const x integer),(set-logic QF_LIA) (declare-const x Int) (assert (= x 2)) (check-sat)
Prove that there exists an integer x such that x^2 + 4x - 7 = 0 and x is even,"To prove this, we can use the QF_UF rules to find a model for the equation x^2 + 4x - 7 = 0. We can then analyze the models to determine which ones satisfy the condition that x is even.",(set-logic QF_LIA) (declare-const an Int) (assert (= an 2)) (check-sat)
The Three Switches,Use QF_UF to prove that there is exactly one way to route a train through three switches.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
A cat and a mouse are in two different rooms.,They must be present in their respective rooms.,(set-logic QF_LIA) (declare-const A Int) (declare-const a Int) (assert (and (>= A 0) (<= A 10))) (assert (and (>= a 0) (<= a 10))) (assert (distinct A a)) (check-sat)
(set-logic QF_UF (declare-const x 1 x < 5) (declare-const y 2 y = x + 3) assert (>= y 4),"To prove that the assertion is true, we can use a model with x >= 0 and y > 0.",(set-logic QF_LIA) (declare-const x Int) (assert (= x 1)) (check-sat)
(set-logic QF_UF) (declare-const x 1) (assert (not (= x 0))) (check-sat),"To prove that x is not equal to 0, we can use the property of equality that if a = b then ¬a = ¬b.",(set-logic QF_LIA) (declare-const x Int) (assert (= x 1)) (check-sat)
(set-logic QF_UF  define-const X 0  assert (<= X 5)  check-sat,This puzzle requires the solver to find a value for X such that it is less than or equal to 5.,(set-logic QF_LIA) (declare-const X Int) (assert (= X 0)) (check-sat)
A farmer has a field that is 100 meters long and 50 meters wide. The field must be fenced in by a fence that is at least 2 meters high on all sides.,The farmer can use the following constraints to solve this problem:  - (declare-const field-width 50 :integer) - (declare-const field-length 100 :integer) - (assert (>= (add (multiply field-width 2) (add field-length 2)) (add field-width 2))),(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 100) (<= A 50))) (check-sat)
The set-builder logic asserts that there exists an integer x such that x^2 + 4x - 3 = 0.,"\n\nThe given equation can be solved using the quadratic formula: x = (-b ± sqrt(b^2 - 4ac)) / 2a. In this case, a=1, b=4, and c=-3. \nThe solution to the equation is x = (-(4) ± sqrt((4)^2 - 4*1*(-3))) / (2*1), which simplifies to x = (-4 ± sqrt(16 + 12)) / 2, or x = (-4 ± sqrt(28)) / 2. Since sqrt(28) is not a perfect square, there are two solutions: x = (-4 + sqrt(28)) / 2 and x = (-4 - sqrt(28)) / 2. \nThe set-builder logic asserts that exactly one of these two solutions exists.",(set-logic QF_LIA) (declare-const an Int) (assert (= an 2)) (check-sat)
The Five Houses Problem,Use set-logic QF_UF and declare variables for each house number.  (declare-const house1-number 1) (declare-const house2-number 2) (declare-const house3-number 3) (declare-const house4-number 4) (declare-const house5-number 5),(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
